species,rep,Apre,gspre,Epre,PARpre,Asat,gssat,gsmax,gsrelk,Esat,PARsat,Tleaf,VPDpre,VPDsat,MPa,treatment,date,ld,maxvalue,LA
Esi,12,13.27,0.18,2.1,371.15,19.02,0.21,0.4,0.53,2.59,1498.39,27.8,1.24,1.3,1.21,d,12/01/2017,,N,6
Esi,6,10.47,0.09,1.28,430,12.86,0.08,0.4,0.2,1.29,1498.68,28.9,1.51,1.7,1.97,d,12/01/2017,,N,6
Esi,1,2.79,0.01,0.19,561.03,3.97,0.01,0.4,0.03,0.28,1500.8,29.89,1.86,1.87,1.61,d,12/01/2017,,N,6
Esi,11,0.21,0,0.03,230.14,0.38,0,0.4,0,0.03,1498.32,29.98,1.75,1.82,2.65,d,16/01/2017,,N,6
Esi,5,0.68,0,0.06,420.74,0.72,0,0.4,0,0.11,1499.38,31.38,2.01,2.23,3.72,d,16/01/2017,,N,6
Esi,17,0.34,0,0.04,379.78,0.37,0,0.4,0,0.07,1499.05,30.76,1.9,2.15,2.99,d,16/01/2017,,N,6
Esi,18,-0.02,0,0.08,525.09,0.04,0.01,0.4,0.03,0.12,1499.96,30.44,1.83,2.02,3.1,d,16/01/2017,,N,6
Esi,6,1.79,0,0.02,70.53,2.25,0.01,0.4,0.03,0.08,1499.08,24.91,1.28,1.47,3.41,d,19/01/2017,,N,6
Esi,7,2.83,0.09,1.08,49.85,14.65,0.12,0.4,0.3,1.42,1499.01,24.58,1.18,1.19,1.49,d,19/01/2017,,N,6
Esi,9,6.31,0.05,0.58,120.34,12.02,0.06,0.4,0.15,0.8,1499.67,24.86,1.24,1.42,1.38,d,19/01/2017,,N,6
Esi,1,7.11,0.03,0.33,490.69,7.77,0.03,0.4,0.08,0.36,1498.49,25.2,1.13,1.11,2.81,d,13/01/2017,,N,6
Esi,5,14.77,0.18,2.96,301.11,21.11,0.22,0.4,0.55,3.72,1499.16,28.42,1.7,1.77,1.85,d,13/01/2017,,N,6
Esi,9,2.56,0.02,0.08,341.36,1.7,0.04,0.4,0.1,0.15,1500.18,25.13,0.43,0.4,2.77,d,23/01/2017,,N,6
Esi,8,4.09,0.14,1.24,80.53,14.47,0.17,0.4,0.43,1.9,1499.2,25.77,0.91,1.15,0.53,d,23/01/2017,,N,6
Esi,7,4.79,0.02,0.71,160.18,6.69,0.03,0.4,0.08,0.93,1498.9,36.3,2.77,2.85,1.79,d,31/01/2017,,N,6
Esi,8,4.78,0.05,1.07,110.59,8.49,0.06,0.4,0.15,1.54,1498.92,34.15,2.08,2.47,1.74,d,31/01/2017,,N,6
Esi,9,0.38,0,0,181.24,0.23,0,0.4,0,0.04,1500.25,33.55,2.27,2.6,3.06,d,31/01/2017,,N,6
Esi,3,0.35,0,0.11,221.4,0.13,0,0.4,0,0.14,1499,34.73,2.49,2.99,2.24,d,31/01/2017,,N,6
